PT4-M_a	PT1-M_a	PT3-M_a	PT1-U_a	PT2-U_a	PT2-M_a	PT5-M_a	PT4-M	PT1-M	PT3-M	PT1-U	PT2-U	PT2-M	PT5-M	TCp2-M	TCw1-E	TCp1-M	TCw4-E	TCw3-E	TCw2-E	Voltage	Motor1	Motor2	Motor3	Motor4	Statestring
206	198	197	197	196	199	197	12	1	0	-2	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23878
206	198	197	197	196	199	197	12	1	0	-2	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	23878
204	198	197	197	196	198	197	12	1	0	-1	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	24656
206	198	198	196	196	198	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	24887
206	198	198	196	196	198	196	12	1	0	-1	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	24887
206	198	198	196	196	198	196	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	24887
207	198	197	197	196	198	196	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	25658
207	198	197	197	196	198	196	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	25658
207	198	197	197	196	198	196	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	25658
206	198	197	197	196	198	196	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	26424
206	198	197	197	196	198	197	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	26659
206	198	197	197	196	198	197	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	26659
206	198	197	197	196	198	197	12	1	0	-2	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	26659
206	197	197	197	196	199	198	12	1	0	-1	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	27427
206	197	197	197	196	199	198	12	1	0	-1	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	27427
206	197	197	197	196	199	198	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	27427
206	197	197	197	197	198	197	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	28201
207	198	197	197	196	198	197	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	28433
207	198	197	197	196	198	197	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	28433
207	198	197	197	196	198	197	12	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	28433
206	197	197	197	196	197	197	12	0	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	29207
206	197	197	197	196	197	197	12	0	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	29207
206	197	197	197	196	197	197	12	0	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	29207
207	198	197	197	196	198	197	13	0	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	29981
206	199	197	197	196	198	196	13	1	0	0	0	0	-2	82	82	82	82	82	82	15	1000	1000	1000	1000	30213
206	199	197	197	196	198	196	13	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	30213
206	199	197	197	196	198	196	13	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	30213
207	199	197	197	196	200	196	13	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	30995
206	197	197	197	196	199	197	12	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	31225
206	197	197	197	196	199	197	12	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	31225
206	197	197	197	196	199	197	12	1	0	0	0	0	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	31225
207	197	197	197	197	198	197	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	32001
207	197	197	197	197	198	197	13	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	32001
207	197	197	197	197	198	197	13	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	32001
205	199	197	197	196	197	197	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	32783
206	198	197	197	196	199	196	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	33014
206	198	197	197	196	199	196	12	1	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	33014
206	198	197	197	196	199	196	12	0	0	0	0	1	-3	82	82	82	82	82	82	15	1000	1000	1000	1000	33014
205	198	197	197	196	199	196	12	1	0	0	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	33799
205	198	197	197	196	199	196	12	1	0	0	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	33799
205	198	197	197	196	199	196	12	1	0	0	0	1	-3	81	82	82	82	82	82	15	1000	1000	1000	1000	33799
